"investee_company_name","investee_company_nation","investee_company_trbc_economic_sector","investment_date","round_number","investment_stage","firm_investor_name","fund_investor_name","investor_equity_total_usd_millions","disclosed_fund_equity_contribution_usd_millions","round_equity_total_usd_millions","disclosed_debt_contribution_usd_millions","deal_value_usd_millions","deal_rank_value_usd_millions","investment_year","sector","stage","company","deal_value","stage_category"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Undisclosed Firm","Undisclosed Fund",12,0,60,0,0,60,2015,"Technology",3,"A&A Dukaan Financial Services Pvt Ltd",12,"Other"
"A&A Dukaan Financial Services Pvt Ltd","India","Technology",2015-07-02,3,"Expansion","Walden International","Walden International - Unspecified Fund",12,0,60,0,0,60,2015,"Technology",3,"A&A Dukaan Financial Services Pvt Ltd",12,"Other"
"A2 Media Pvt Ltd","India","Technology",2011-11-17,1,"Expansion","Elevation Capital","SAIF Partners - Unspecified Fund",5,5,5,0,0,5,2011,"Technology",1,"A2 Media Pvt Ltd",5,"Other"
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2007-09-12,1,"Expansion","Baer Capital Partners Ltd","Beacon India Private Equity Fund, The",19,19,19,0,0,19,2007,"Industrials",1,"A2Z Maintenance & Engineering Services Pvt., Ltd.",19,"Other"
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2009-10-20,2,"Expansion","Baer Capital Partners Ltd","Beacon India Private Equity Fund, The",16,0,33,0,0,33,2009,"Industrials",2,"A2Z Maintenance & Engineering Services Pvt., Ltd.",16,"Other"
"A2Z Maintenance & Engineering Services Pvt., Ltd.","India","Industrials",2009-10-20,2,"Expansion","IEP Fund Advisors Pvt Ltd","India Equity Partners",16,0,33,0,0,33,2009,"Industrials",2,"A2Z Maintenance & Engineering Services Pvt., Ltd.",16,"Other"
"A4 Hospitals & Fertility Centre Pvt Ltd","India","Healthcare",2024-10-09,1,"Pending Acquisition","360 One Wam Group","360 ONE Healthcare Opportunities Fund",0,0,0,0,0,0,2024,"Healthcare",1,"A4 Hospitals & Fertility Centre Pvt Ltd",0,"Other"
"Aadhaar Wholesale Trading and Distribution Ltd","India","Consumer Non-Cyclicals",2014-12-12,1,"Acquisition","Future Consumer Ltd","Future Consumer Enterprises, Ltd. - Unspecified Fund",8,8,8,0,8,8,2014,"Consumer Non-Cyclicals",1,"Aadhaar Wholesale Trading and Distribution Ltd",8,"Other"
"Aadhar Housing Finance Ltd","India","Financials",2019-06-10,1,"LBO","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",115,115,115,0,115,115,2019,"Financials",1,"Aadhar Housing Finance Ltd",115,"Other"
"Aadhar Housing Finance Ltd","India","Financials",2024-09-30,2,"PIPE","Kotak Alternate Asset Managers Limited","Kotak Pre-IPO Opportunities Fund",6,0,6,0,0,6,2024,"Financials",2,"Aadhar Housing Finance Ltd",6,"Other"
"Aadventure Infotech Pvt Ltd","India","Technology",2020-05-06,1,"Expansion","Ah Ventures India Pvt Ltd","AH! Ventures India Pvt Ltd - Unspecified Fund",0,0,0,0,0,0,2020,"Technology",1,"Aadventure Infotech Pvt Ltd",0,"Other"
"Aahaa Stores Pvt Ltd","India","Technology",2017-09-01,2,"Expansion","YourNest Capital Advisors Pvt Ltd","YourNest Angel Fund",1,0,1,0,0,1,2017,"Technology",2,"Aahaa Stores Pvt Ltd",1,"Other"
"Aahaa Stores Pvt Ltd","India","Technology",2018-06-25,3,"Expansion","Calega Resources Investment LLC","Calega Resources Investment LLC - Unspecified Fund",2,0,2,0,0,2,2018,"Technology",3,"Aahaa Stores Pvt Ltd",2,"Other"
"Aakash Educational Services Limited","India","Academic & Educational Services",2019-10-30,1,"Acquisition","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,0,0,2019,"Academic & Educational Services",1,"Aakash Educational Services Limited",0,"Other"
"Aakash Educational Services Limited","India","Academic & Educational Services",2020-01-03,2,"Acquisition for Expansion","Blackstone Inc","Blackstone Group, L.P. - Unspecified Fund",0,0,0,0,7,7,2020,"Academic & Educational Services",2,"Aakash Educational Services Limited",0,"Other"
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Tamilnadu Infrastructure Fund Management Corp Ltd","Tamil Nadu Emerging Sector Seed Fund",0,0,0,0,0,0,2024,"Technology",1,"Aamdhane Private Ltd",0,"Other"
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2024,"Technology",1,"Aamdhane Private Ltd",0,"Other"
"Aamdhane Private Ltd","India","Technology",2024-08-01,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,0,0,0,0,2024,"Technology",1,"Aamdhane Private Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Dexter Ventures","Dexter Ventures - Unspecified Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Huddle Ventures","Huddle Ventures Fund II",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Mga Ventures","MGA Ventures - Unspecified Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Sorin Advisors LLP","Sorin Investments",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
"Aanswr Fashions Pvt Ltd","India","Consumer Cyclicals",2024-06-19,1,"Expansion","Undisclosed Firm","Undisclosed Fund",0,0,4,0,0,4,2024,"Consumer Cyclicals",1,"Aanswr Fashions Pvt Ltd",0,"Other"
